fold_id,block_id,selected_alpha,selected_threshold,selection_pair_micro_f1,selection_presence_f1,selection_aspect_call_rate,training_aspect_instances,evaluation_aspect_instances,training_review_count,evaluation_review_count,train_evaluation_review_overlap_count,heldout_aspect_selection_instance_count
l2-a06,all_validation_fit,0.1,0.1,0.5885608856088561,0.6161895967990151,0.16091855164702848,11627,12684,1057,1057,1057,0
l2-a07,0,0.1,0.55,0.6114556731120029,0.6598315635298425,0.1633155080213904,9350,2484,850,207,0,0
l2-a07,1,0.1,0.55,0.6222222222222222,0.6695464362850972,0.1659706606703073,9339,2496,849,208,0,0
l2-a07,2,0.1,0.55,0.6118251928020566,0.6592920353982301,0.16370106761565836,9273,2568,843,214,0,0
l2-a07,3,0.1,0.55,0.6183399782529903,0.6690935566072078,0.16284770329318982,9383,2448,853,204,0,0
l2-a07,4,0.1,0.55,0.6095515858549034,0.6588579795021962,0.16730328495034377,9163,2688,833,224,0,0
l2-a07,all_validation_fit,0.1,0.55,0.6147135795289328,0.6633576642335767,0.16461684011352887,11627,12684,1057,1057,1057,0
l2-a08,0,0.3,0.17,0.6133421838698971,0.6608869623207736,0.17379679144385027,9350,2484,850,207,0,0
l2-a08,1,0.1,0.23,0.618134546636334,0.660574412532637,0.17946246921511938,9339,2496,849,208,0,0
l2-a08,2,0.1,0.23,0.6160506160506161,0.6597593582887701,0.17642618354362127,9273,2568,843,214,0,0
l2-a08,3,0.1,0.23,0.612987012987013,0.6588388780169602,0.17808803154641373,9383,2448,853,204,0,0
l2-a08,4,0.1,0.16,0.6080655324511657,0.6542233470420753,0.1953508676197752,9163,2688,833,224,0,0
l2-a08,all_validation_fit,0.1,0.23,0.6135291033036182,0.6577145866245392,0.178635933602821,11627,12684,1057,1057,1057,0
l2-a09,0,0.1,0.18,0.6188367286684382,0.6656795972756885,0.20427807486631017,9350,2484,850,207,0,0
l2-a09,1,0.1,0.18,0.6226912928759895,0.6696061140505585,0.20505407431202485,9339,2496,849,208,0,0
l2-a09,2,0.1,0.18,0.6217273547998796,0.6686783343391671,0.20176857543405585,9273,2568,843,214,0,0
l2-a09,3,0.1,0.2,0.6140929535232383,0.6624548736462094,0.1968453586273047,9383,2448,853,204,0,0
l2-a09,4,0.1,0.18,0.614050822122571,0.6618705035971223,0.20495470915638983,9163,2688,833,224,0,0
l2-a09,all_validation_fit,0.1,0.18,0.6182336182336182,0.6661904761904762,0.2035778790745678,11627,12684,1057,1057,1057,0
l2-a10,0,0.1,0.41,0.6155352480417755,0.6544971788914703,0.16545454545454547,9350,2484,850,207,0,0
l2-a10,1,0.1,0.24,0.6166519564577817,0.6616676664667066,0.19841524788521256,9339,2496,849,208,0,0
l2-a10,2,0.1,0.4,0.6152317880794702,0.6527731092436975,0.16542650706351775,9273,2568,843,214,0,0
l2-a10,3,0.1,0.41,0.6107862248213125,0.6532231404958677,0.16551209634445274,9383,2448,853,204,0,0
l2-a10,4,0.1,0.24,0.6133974166416342,0.6578786020846107,0.1975335588780967,9163,2688,833,224,0,0
l2-a10,all_validation_fit,0.1,0.4,0.6136185755283068,0.6530503978779841,0.16702502795218027,11627,12684,1057,1057,1057,0
l2-a11,0,0.1,0.43,0.6274782608695653,0.6664335664335664,0.15240641711229946,9350,2484,850,207,0,0
l2-a11,1,0.1,0.41,0.6282225237449118,0.6662125340599455,0.1581539779419638,9339,2496,849,208,0,0
l2-a11,2,0.1,0.42,0.6269284712482468,0.6650228953856991,0.15388763075595815,9273,2568,843,214,0,0
l2-a11,3,0.1,0.34,0.6246266179887155,0.6688896298766256,0.16551209634445274,9383,2448,853,204,0,0
l2-a11,4,0.1,0.34,0.6221027880416526,0.6641916976037799,0.16752155407617592,9163,2688,833,224,0,0
l2-a11,all_validation_fit,0.1,0.43,0.6251043696075703,0.6649888143176734,0.15317794787993463,11627,12684,1057,1057,1057,0
l2-a12,0,0.3,0.14,0.608607251779058,0.6568291008922443,0.16524064171122996,9350,2484,850,207,0,0
l2-a12,1,0.1,0.16,0.61376,0.6554621848739496,0.1820323375093693,9339,2496,849,208,0,0
l2-a12,2,0.3,0.14,0.6126495726495726,0.6595081399376516,0.16477946727057047,9273,2568,843,214,0,0
l2-a12,3,0.1,0.12,0.6071317829457364,0.6584905660377358,0.1910902696365768,9383,2448,853,204,0,0
l2-a12,4,0.1,0.12,0.6061557788944724,0.6522430798600064,0.19425952199061441,9163,2688,833,224,0,0
l2-a12,all_validation_fit,0.1,0.12,0.6082834331337326,0.6547107855519071,0.19274103380063645,11627,12684,1057,1057,1057,0
